"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2019-09-24","85.5",-3.31912167778957,5.23847753193818,"Max Scherzer",514917,453286,"null","ball",,,,,"14","null","R","L","R","WSH","PHI","B","null","null",2,1,2019,-1.5319056712413,0.108443503907846,"0.65","1.10","null","null","null",2,5,"Top","null","null",,,"543228",,"190925_003944",12.314343003296,-123.861482789456,-3.62139421974544,-18.0859149813947,24.3575130559855,-30.5752477436765,3.34,1.65,"null","null","null",84.934,"1518",6.134,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3653901049707,"null","null","null","null","null","null","null",38,"4","Changeup",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2019-09-24","94.3",-3.2562687902126,5.39407977398914,"Max Scherzer",514917,453286,"null","ball",,,,,"12","null","R","L","R","WSH","PHI","B","null","null",1,1,2019,-1.09866801999227,1.32252646708776,"1.12","3.50","null","null","null",2,5,"Top","null","null",,,"543228",,"190925_003926",13.6885488538983,-136.591894228491,-2.07227104569724,-16.6522325103698,29.9790378599989,-15.5156753511096,3.4,1.65,"null","null","null",93.61,"2447",6.129,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3703050770552,"null","null","null","null","null","null","null",38,"3","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"CU","2019-09-24","79.5",-3.23919729727245,5.42284177319137,"Max Scherzer",514917,453286,"null","called_strike",,,,,"4","null","R","L","R","WSH","PHI","S","null","null",1,0,2019,0.964484023419556,-0.468561938160436,"-0.33","2.46","null","null","null",2,5,"Top","null","null",,,"543228",,"190925_003905",4.56327581561254,-115.565719718864,1.15307345533931,7.62149221714617,22.07699875232,-36.7637578302951,3.3,1.48,"null","null","null",78.793,"2586",5.908,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.5915797850067,"null","null","null","null","null","null","null",38,"2","Curveball",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2019-09-24","92.2",-3.28032623821506,5.34442143595707,"Max Scherzer",514917,453286,"null","ball",,,,,"14","null","R","L","R","WSH","PHI","B","null","null",0,0,2019,-1.12950974030872,1.19718871929497,"0.53","1.20","null","null","null",2,5,"Top","null","null",,,"543228",,"190925_003849",11.9351981562949,-133.511115296546,-7.15258325935412,-15.7866924859112,27.4602343957303,-16.8002374554878,3.34,1.56,"null","null","null",91.244,"2356",5.882,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.6170756485146,"null","null","null","null","null","null","null",38,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"SL","2019-09-24","83.0",-3.53108332810609,5.05889814143423,"Max Scherzer",605400,453286,"strikeout","called_strike",,,,,"5","Aaron Nola called out on strikes.  ","R","R","R","WSH","PHI","S",2,"null",0,2,2019,0.597447212849237,-0.0905294578751296,"0.06","2.19","null","null","null",1,5,"Top","null","null",,,"543228",,"190925_003811",7.02894530092924,-120.712507180205,0.0812855334577972,4.41755404124107,23.245719772649,-33.2949442790593,3.11,1.33,"null","null","null",82.54,"2430",5.987,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.5120313372356,"null","null","0.00",1,0,0,"null",37,"3","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"SL","2019-09-24","84.0",-3.51610903275788,5.1574770096439,"Max Scherzer",605400,453286,"null","swinging_strike",,,,,"9","null","R","R","R","WSH","PHI","S","null","null",0,1,2019,0.499405783597413,0.0823691678375103,"0.62","2.03","null","null","null",1,5,"Top","null","null",,,"543228",,"190925_003750",8.52967463941955,-122.101028968717,-1.00673346730283,3.33243282033404,22.8866560569549,-31.3992869732752,3.29,1.51,"null","null","null",83.456,"2424",5.882,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.6177080724431,"null","null","null","null","null","null","null",37,"2","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2019-09-24","92.6",-3.34517896109883,5.28284997338703,"Max Scherzer",605400,453286,"null","called_strike",,,,,"9","null","R","R","R","WSH","PHI","S","null","null",0,0,2019,-1.22147095263825,1.1402301145445,"0.36","2.07","null","null","null",1,5,"Top","null","null",,,"543228",,"190925_003736",12.0104379509011,-134.284512997366,-4.81857472752022,-17.184040778727,27.73562801374,-17.669704435959,3.32,1.53,"null","null","null",92.161,"2400",6.113,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3861816053796,"null","null","null","null","null","null","null",37,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"CH","2019-09-24","83.9",-3.44527657813564,5.1968377631976,"Max Scherzer",595284,453286,"strikeout","called_strike",,,,,"8","Andrew Knapp called out on strikes.  ","R","L","R","WSH","PHI","S",2,"null",1,2,2019,-1.24446408418148,-0.0102986910928346,"0.11","1.62","null","null","null",0,5,"Top","null","null",,,"543228",,"190925_003704",10.6161370675518,-121.836249236814,-1.88755707819467,-14.2642590937411,21.0293804627024,-32.1470929023505,3.17,1.42,"null","null","null",83.984,"1576",6.187,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3123495914727,"null","null","0.00",1,0,0,"null",36,"4","Changeup",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CH","2019-09-24","83.0",-3.27774649554151,5.32962693189828,"Max Scherzer",595284,453286,"null","ball",,,,,"14","null","R","L","R","WSH","PHI","B","null","null",0,2,2019,-1.27336572908954,0.22861406826919,"0.25","0.62","null","null","null",0,5,"Top","null","null",,,"543228",,"190925_003640",10.5100637287402,-120.49092198877,-4.77012037303983,-14.2530285049292,20.5406054239841,-29.3173427217674,3.09,1.39,"null","null","null",83.126,"1322",6.231,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.2685752260596,"null","null","null","null","null","null","null",36,"3","Changeup",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FC","2019-09-24","89.3",-3.44543384901916,5.23343599359576,"Max Scherzer",595284,453286,"null","foul",,,,,"2","null","R","L","R","WSH","PHI","S","null","null",0,1,2019,0.0233508284302575,0.823647794792799,"0.19","2.97","null","null","null",0,5,"Top","null","null",,,"543228",,"190925_003605",8.82738062687807,-129.875237307742,-1.30579899508686,-1.38276983421815,24.2022868749803,-22.8933029179164,3.23,1.56,"null","null","null",89.021,"2468",5.9,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.5994014857092,"null","null","null","null","null","null","null",36,"2","Cutter",2,4,4,2,4,2,4,2,"Infield shift","Standard"
